numero_factura,motivo
002001001132593,REASIGNACION CIERRE PERIODO FISCAL
002001001132592,REASIGNACION CIERRE PERIODO FISCAL
002001001133113,REASIGNACION CIERRE PERIODO FISCAL
002001001134390,REASIGNACION CIERRE PERIODO FISCAL
002001001134389,REASIGNACION CIERRE PERIODO FISCAL
002001001133500,REASIGNACION CIERRE PERIODO FISCAL
002001001132071,REASIGNACION CIERRE PERIODO FISCAL
002001001134409,REASIGNACION CIERRE PERIODO FISCAL
002001001132712,REASIGNACION CIERRE PERIODO FISCAL
002001001133882,REASIGNACION CIERRE PERIODO FISCAL
002001001133890,REASIGNACION CIERRE PERIODO FISCAL
002001001132354,REASIGNACION CIERRE PERIODO FISCAL
002001001132906,REASIGNACION CIERRE PERIODO FISCAL
002001001135245,REASIGNACION CIERRE PERIODO FISCAL
002001001135249,REASIGNACION CIERRE PERIODO FISCAL
002001001135256,REASIGNACION CIERRE PERIODO FISCAL
002001001135258,REASIGNACION CIERRE PERIODO FISCAL
002001001135260,REASIGNACION CIERRE PERIODO FISCAL
002001001135270,REASIGNACION CIERRE PERIODO FISCAL
002001001135302,REASIGNACION CIERRE PERIODO FISCAL
002001001135304,REASIGNACION CIERRE PERIODO FISCAL
002001001135309,REASIGNACION CIERRE PERIODO FISCAL
002001001135322,REASIGNACION CIERRE PERIODO FISCAL
002001001135328,REASIGNACION CIERRE PERIODO FISCAL
002001001135330,REASIGNACION CIERRE PERIODO FISCAL
002001001135342,REASIGNACION CIERRE PERIODO FISCAL
002001001135406,REASIGNACION CIERRE PERIODO FISCAL
002001001135416,REASIGNACION CIERRE PERIODO FISCAL
002001001135423,REASIGNACION CIERRE PERIODO FISCAL
002001001135432,REASIGNACION CIERRE PERIODO FISCAL
002001001135465,REASIGNACION CIERRE PERIODO FISCAL
002001001135468,REASIGNACION CIERRE PERIODO FISCAL
002001001135483,REASIGNACION CIERRE PERIODO FISCAL
001002001094436,REASIGNACION CIERRE PERIODO FISCAL
001002001094429,REASIGNACION CIERRE PERIODO FISCAL
001002001094434,REASIGNACION CIERRE PERIODO FISCAL
001002001094592,REASIGNACION CIERRE PERIODO FISCAL
001002001094658,REASIGNACION CIERRE PERIODO FISCAL
001002001094662,REASIGNACION CIERRE PERIODO FISCAL
001002001094677,REASIGNACION CIERRE PERIODO FISCAL
001002001094683,REASIGNACION CIERRE PERIODO FISCAL
001002001094696,REASIGNACION CIERRE PERIODO FISCAL
001002001094709,REASIGNACION CIERRE PERIODO FISCAL
001002001094716,REASIGNACION CIERRE PERIODO FISCAL
001002001094724,REASIGNACION CIERRE PERIODO FISCAL
001002001094759,REASIGNACION CIERRE PERIODO FISCAL
001002001094764,REASIGNACION CIERRE PERIODO FISCAL
001002001094823,REASIGNACION CIERRE PERIODO FISCAL
001002001094825,REASIGNACION CIERRE PERIODO FISCAL
001002001094829,REASIGNACION CIERRE PERIODO FISCAL
001002001094830,REASIGNACION CIERRE PERIODO FISCAL
001002001094831,REASIGNACION CIERRE PERIODO FISCAL
001002001094833,REASIGNACION CIERRE PERIODO FISCAL
001002001094834,REASIGNACION CIERRE PERIODO FISCAL
001002001094835,REASIGNACION CIERRE PERIODO FISCAL
002001001137568,REASIGNACION CIERRE PERIODO FISCAL
002001001139410,REASIGNACION CIERRE PERIODO FISCAL
001002001097157,REASIGNACION CIERRE PERIODO FISCAL
001002001097167,REASIGNACION CIERRE PERIODO FISCAL
001002001097171,REASIGNACION CIERRE PERIODO FISCAL
001002001097177,REASIGNACION CIERRE PERIODO FISCAL
002001000932175,REASIGNACION CIERRE PERIODO FISCAL
002001000932160,REASIGNACION CIERRE PERIODO FISCAL
002001000932180,REASIGNACION CIERRE PERIODO FISCAL
002001000932178,REASIGNACION CIERRE PERIODO FISCAL
002001000932330,REASIGNACION CIERRE PERIODO FISCAL
002001000932337,REASIGNACION CIERRE PERIODO FISCAL
002001000932840,REASIGNACION CIERRE PERIODO FISCAL
002001000933571,REASIGNACION CIERRE PERIODO FISCAL
002001000933647,REASIGNACION CIERRE PERIODO FISCAL
002001000933601,REASIGNACION CIERRE PERIODO FISCAL
002001000933604,REASIGNACION CIERRE PERIODO FISCAL
002001000933587,REASIGNACION CIERRE PERIODO FISCAL
002001000933768,REASIGNACION CIERRE PERIODO FISCAL
002001000933565,REASIGNACION CIERRE PERIODO FISCAL
002001000933772,REASIGNACION CIERRE PERIODO FISCAL
002001000933776,REASIGNACION CIERRE PERIODO FISCAL
002001000933777,REASIGNACION CIERRE PERIODO FISCAL
002001000933778,REASIGNACION CIERRE PERIODO FISCAL
002001000933779,REASIGNACION CIERRE PERIODO FISCAL
002001000933780,REASIGNACION CIERRE PERIODO FISCAL
002001000934114,REASIGNACION CIERRE PERIODO FISCAL
002001000934730,REASIGNACION CIERRE PERIODO FISCAL
002001000934783,REASIGNACION CIERRE PERIODO FISCAL
002001000934807,REASIGNACION CIERRE PERIODO FISCAL
002001000935737,REASIGNACION CIERRE PERIODO FISCAL
002001000935734,REASIGNACION CIERRE PERIODO FISCAL
002001000935736,REASIGNACION CIERRE PERIODO FISCAL
002001000935749,REASIGNACION CIERRE PERIODO FISCAL
002001000935375,REASIGNACION CIERRE PERIODO FISCAL
002001000935376,REASIGNACION CIERRE PERIODO FISCAL
002001000935379,REASIGNACION CIERRE PERIODO FISCAL
002001000936790,REASIGNACION CIERRE PERIODO FISCAL
002001000937312,REASIGNACION CIERRE PERIODO FISCAL
002001000937316,REASIGNACION CIERRE PERIODO FISCAL
002001000937319,REASIGNACION CIERRE PERIODO FISCAL
002001000937619,REASIGNACION CIERRE PERIODO FISCAL
002001000937594,REASIGNACION CIERRE PERIODO FISCAL
002001000937554,REASIGNACION CIERRE PERIODO FISCAL
002001000937562,REASIGNACION CIERRE PERIODO FISCAL
002001000937580,REASIGNACION CIERRE PERIODO FISCAL
002001000937662,REASIGNACION CIERRE PERIODO FISCAL
002001000937531,REASIGNACION CIERRE PERIODO FISCAL
002001000937534,REASIGNACION CIERRE PERIODO FISCAL
002001000937537,REASIGNACION CIERRE PERIODO FISCAL
002001000937564,REASIGNACION CIERRE PERIODO FISCAL
002001000937549,REASIGNACION CIERRE PERIODO FISCAL
002001000937540,REASIGNACION CIERRE PERIODO FISCAL
002001000938557,REASIGNACION CIERRE PERIODO FISCAL
002001000938565,REASIGNACION CIERRE PERIODO FISCAL
002001000938466,REASIGNACION CIERRE PERIODO FISCAL
002001000938499,REASIGNACION CIERRE PERIODO FISCAL
002001000938562,REASIGNACION CIERRE PERIODO FISCAL
002001000938504,REASIGNACION CIERRE PERIODO FISCAL
002001000938566,REASIGNACION CIERRE PERIODO FISCAL
002001000938965,REASIGNACION CIERRE PERIODO FISCAL
002001000939160,REASIGNACION CIERRE PERIODO FISCAL
002001000939162,REASIGNACION CIERRE PERIODO FISCAL
002001000939150,REASIGNACION CIERRE PERIODO FISCAL
002001000939152,REASIGNACION CIERRE PERIODO FISCAL
002001000743374,REASIGNACION CIERRE PERIODO FISCAL
002001000743645,REASIGNACION CIERRE PERIODO FISCAL
002001000743665,REASIGNACION CIERRE PERIODO FISCAL
002001000743674,REASIGNACION CIERRE PERIODO FISCAL
002001000743679,REASIGNACION CIERRE PERIODO FISCAL
002001000743761,REASIGNACION CIERRE PERIODO FISCAL
002001000743942,REASIGNACION CIERRE PERIODO FISCAL
002001000744567,REASIGNACION CIERRE PERIODO FISCAL
002001000744918,REASIGNACION CIERRE PERIODO FISCAL
002001000745272,REASIGNACION CIERRE PERIODO FISCAL
002001000745798,REASIGNACION CIERRE PERIODO FISCAL
002001000745955,REASIGNACION CIERRE PERIODO FISCAL
002001000747533,REASIGNACION CIERRE PERIODO FISCAL
002001000748221,REASIGNACION CIERRE PERIODO FISCAL
002001000748423,REASIGNACION CIERRE PERIODO FISCAL
002001000748573,REASIGNACION CIERRE PERIODO FISCAL
002001000748618,REASIGNACION CIERRE PERIODO FISCAL
002001000748809,REASIGNACION CIERRE PERIODO FISCAL
002001000748813,REASIGNACION CIERRE PERIODO FISCAL
002001000749113,REASIGNACION CIERRE PERIODO FISCAL
002001000749143,REASIGNACION CIERRE PERIODO FISCAL
002001000749169,REASIGNACION CIERRE PERIODO FISCAL
002001000750133,REASIGNACION CIERRE PERIODO FISCAL
002001000750173,REASIGNACION CIERRE PERIODO FISCAL
002001000750343,REASIGNACION CIERRE PERIODO FISCAL
002001000750347,REASIGNACION CIERRE PERIODO FISCAL
002001000750348,REASIGNACION CIERRE PERIODO FISCAL
002001000750988,REASIGNACION CIERRE PERIODO FISCAL
002001000751252,REASIGNACION CIERRE PERIODO FISCAL
002001000751271,REASIGNACION CIERRE PERIODO FISCAL
002001000751374,REASIGNACION CIERRE PERIODO FISCAL
002001000751639,REASIGNACION CIERRE PERIODO FISCAL
002001000751648,REASIGNACION CIERRE PERIODO FISCAL
002001000751649,REASIGNACION CIERRE PERIODO FISCAL
002001000752713,REASIGNACION CIERRE PERIODO FISCAL
002001000755057,REASIGNACION CIERRE PERIODO FISCAL
002001000760131,REASIGNACION CIERRE PERIODO FISCAL
002001000760528,REASIGNACION CIERRE PERIODO FISCAL
002001000760532,REASIGNACION CIERRE PERIODO FISCAL
002001000760534,REASIGNACION CIERRE PERIODO FISCAL
002001000760539,REASIGNACION CIERRE PERIODO FISCAL
002001000760540,REASIGNACION CIERRE PERIODO FISCAL
002001000760977,REASIGNACION CIERRE PERIODO FISCAL
002001000761667,REASIGNACION CIERRE PERIODO FISCAL
